Position,Year,Make,Model,Time (min:sec),time (s),horsepower (hp),torque (lb-ft),kerb weight (lb),wheel base (in),width (in),height (in),RWD,AWD,FWD,0-60 (s),top speed (mph),manual,automatic,Comments,Sources
36,2015,Ford,Shelby GT350R,07:32.2,452.2,533,429,3655,107.1,75.9,53.6,1,0,0,3.9,174,1,0,,https://www.autoevolution.com/cars/ford-gt350r-2016.html#aeng_ford-mustang-shelby-gt350r-2016-52-v8-6mt-526-hp
37,2005,Pagani,Zonda F,07:33.0,453,602,760,1230,107.48,80.91,44.92,1,0,0,3.4,214,1,0,,https://www.auto-data.net/en/porsche-911-997-facelift-2008-turbo-s-3.8-530hp-pdk-36763
38,2010,Porsche,911 GT3 RS,07:33.0,453,450,317,3020,92.72,72.91,50.39,1,0,0,3.8,193,1,0,,https://www.excellence-mag.com/resources/specs/182
39,2006,Koenigsegg,CCX,07:33.6,453.6,795,693,1455,104.7,78.6,44.1,1,0,0,3,245,1,0,,https://www.automobile-catalog.com/car/2006/1369955/koenigsegg_ccx.html#gsc.tab=0
40,2004,Koenigsegg,CCR,07:34.0,454,806,679,2601,104.7,78.3,42.1,1,0,0,3,245,1,0,,https://www.auto-data.net/en/koenigsegg-ccr-generation-649
41,2010,Audi,R8 GT,07:34.0,454,560,398,3583,104.3,76,48.8,0,1,0,3.6,199,0,1,,https://www.autoevolution.com/cars/audi-r8-gt-2010.html#aeng_audi-r8-gt-2010-52-v10-fsi-560-hp
42,2009,Nissan,GT-R Spec-V,07:34.5,454.5,480,430,3836,109.5,74.6,53.9,0,1,0,3.4,193,0,1,,https://www.carfolio.com/nissan-gt-r-specv-191928
43,2005,RUF,RT12,07:35.0,455,730,693,3296,93,73,50,1,0,0,3.8,224,1,0,,https://fastestlaps.com/models/ruf-rt12
44,2014,Chevrolet,Camaro Z/28,07:37.5,457.5,505,481,3820,112.3,76.9,52.4,1,0,0,4.4,185,1,0,,https://www.autoblog.com/buy/2014-Chevrolet-Camaro-Z_28__2dr_Coupe/specs/
45,2011,Porsche,911 Carrera S,07:37.9,457.9,385,310,3208,92.52,71.18,51.18,1,0,0,4.5,187,1,0,,https://www.excellence-mag.com/resources/specs/122
46,2017,Porsche,e Panamera Turbo,07:38.0,458,542,567,4565,116.14,76.26,56.18,0,1,0,3.8,190,0,1,,https://www.ultimatespecs.com/car-specs/Porsche/106963/Porsche-Panamera-2017-Turbo.html
47,2006,Porsche,911 Turbo,07:38.0,458,480,457.29,1585,92.52,72.91,51.18,0,1,0,3.7,192.63,1,0,,https://www.auto-data.net/en/porsche-911-997-turbo-3.6-480hp-6590
48,2010,Lexus,LF-A,07:38.0,458,560,354.03,1590,102.56,74.61,49.8,1,0,0,3.5,201.95,0,1,,https://www.auto-data.net/en/lexus-lfa-4.8-v10-560hp-automatic-24498
49,2010,Lamborghini,Gallardo LP 570-4 Superleggera,07:38.0,458,570,398.28,3152.61,100.79,74.8,45.87,0,1,0,3.2,201.95,1,0,,https://www.auto-data.net/en/lamborghini-gallardo-lp-570-4-superleggera-5.2-570hp-awd-17488
50,2015,Alfa Romeo,Giulia Quadrifoglio,07:39.0,459,512,443,3359,111,73.7,56.1,1,0,0,3.8,191,1,0,,https://www.autosnout.com/Figures-Specs/Alfa-Romeo-Giulia-Quadrifoglio-2-9-V6-Bi-Turbo-2015/1710
51,2007,Ferrari,430 Scuderia,07:39.0,459,510,347,2976,102.4,75.7,47.8,1,0,0,3.6,199,0,1,,https://www.autoevolution.com/cars/ferrari-430-scuderia-2007.html#aeng_ferrari-f430-f-131-evoluzione-2007-43-v8
52,2006,Lamborghini,Murcielago LP640,07:40.0,460,631,486,3671,104.92,81.1,44.88,0,1,0,3.4,205,1,0,,https://www.ultimatespecs.com/car-specs/Lamborghini/1937/Lamborghini-Murcielago-LP640.html
